Country Name,Country Code,Year,Exports of goods and services (% of GDP),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Inflation, consumer prices (annual %)"
Nigeria,NGA,2019,,668219992686.575,2.2084292783521136,3189.812864961828,11.39642233781149
Nigeria,NGA,2020,,598586817817.3922,-6.368898404685268,2797.1845806789997,13.24602342765982
Nigeria,NGA,2021,,609147716965.3478,1.1092525402490023,2787.487792209909,16.95284572216079
Nigeria,NGA,2022,,646950257575.4548,4.318829491571364,2899.160474692671,18.84718778432741
Nigeria,NGA,2023,,487387801877.803,3.315903681114378,2138.763837187565,24.65955020311396
Nigeria,NGA,2024,,252261880140.2709,4.071066501477034,1084.1604180505808,33.24165905527488
Nigeria,NGA,2025,,290794361542.1119,4.01336180700973,1224.25410237743,23.0101235833333
Rwanda,RWA,2015,13.386617118665168,8447064078.843735,8.870367528727428,725.6914186969522,2.528502841924209
Rwanda,RWA,2016,15.617950311233605,8596812240.523048,5.658745842027784,721.2585158330943,7.174343019820087
Rwanda,RWA,2017,20.733136224434283,9164345443.257502,4.703934397510608,751.0490395275472,8.27953672260832
Rwanda,RWA,2018,21.63561201501643,9650161136.17648,8.070842546216412,772.7549829593539,-0.3112101603906995
Rwanda,RWA,2019,22.03044531742377,10519272170.334648,9.286133874545428,823.3553040653044,3.347876550376479
Rwanda,RWA,2020,18.66832295703408,10487146253.402475,-2.7771048551512507,802.6386869362043,9.850399022742067
Rwanda,RWA,2021,19.285793539864382,11252894909.50433,8.41140448646523,842.5814929476722,-0.3913467483007914
Rwanda,RWA,2022,21.79924204652654,13747404814.26773,9.824973946516977,1007.059893229136,17.68920955881533
Rwanda,RWA,2023,23.700606027817663,14806501437.282022,8.559642929141532,1061.0578815407637,19.78954674646699
Rwanda,RWA,2024,28.42123007696214,15111064181.968737,7.227171033445344,1059.9370929880058,1.770292401986348
Rwanda,RWA,2025,21.55473145356931,16372132990.227057,9.375798341824463,1123.7387463322505,5.913000168825997
South Africa,ZAF,2015,27.7136384124829,346709790458.56305,1.3218622367822943,6112.273824859742,4.518690948925061
South Africa,ZAF,2016,28.156088169895494,323585509674.4806,0.6645523078581164,5651.205851657492,6.602908423948717
South Africa,ZAF,2017,27.3400757812216,381448814653.4564,1.157946951817351,6618.335082557006,5.186186555241493
South Africa,ZAF,2018,27.49703715084233,405260723892.5169,1.5567838472167637,6914.178031807599,4.509872648673875
South Africa,ZAF,2019,27.202129405115095,389330032224.2691,0.2599355768763303,6533.711210328561,4.102850754611558
South Africa,ZAF,2020,27.575914160396287,337974655408.0553,-6.1689177146757,5580.603830751887,3.232388316151135
South Africa,ZAF,2021,31.191610505160828,419986284375.3684,4.858648650601481,6828.756245900167,4.61874544887136
South Africa,ZAF,2022,33.539440316427225,407596043067.88525,2.058136616921928,6534.248677833969,7.039872725464818
South Africa,ZAF,2023,33.25381275568156,381440724491.2316,0.8061045509580396,6034.272089646732,6.075243845796597
South Africa,ZAF,2024,31.791907064630266,401144998373.5852,0.534843531905139,6267.186814093005,4.361152465189621
South Africa,ZAF,2025,31.410194733725326,427184325997.307,1.1146260810395603,6597.714509187739,3.205504741126034
Sub-Saharan Africa,SSF,2015,21.424712136361315,1687942836834.4785,2.933446011408151,1647.3208582683578,3.4723875288365225
Sub-Saharan Africa,SSF,2016,21.851660151155443,1532640901655.9353,1.317003558508631,1456.6521111592897,5.302642977103245
Sub-Saharan Africa,SSF,2017,23.503153975526665,1673446999208.2524,2.507454853000596,1549.188319085846,5.186186555241493
Sub-Saharan Africa,SSF,2018,24.46693217904512,1799777413644.266,2.794330821308975,1622.5957532963369,3.911334399907289
Sub-Saharan Africa,SSF,2019,20.740104653834766,2045881962739.732,2.5491393304618555,1797.041217654148,2.867588034468999
Sub-Saharan Africa,SSF,2020,19.291017080649357,1902234301367.3823,-3.2921261587491277,1628.4387334686862,3.398629285188528
Sub-Saharan Africa,SSF,2021,22.923755919433937,2139729978109.8677,3.581941292902883,1785.9811819114375,4.439054812150022
Sub-Saharan Africa,SSF,2022,24.409522194234626,2290209566620.2573,4.033710669568862,1864.7068611192456,9.45801281304023
Sub-Saharan Africa,SSF,2023,24.89399424797096,2117602210170.497,2.714466916758965,1682.2261488118966,6.697599907898446
Sub-Saharan Africa,SSF,2024,28.01494529017485,1989931102034.874,3.616127924957297,1542.6584426161917,4.300095846979991
Sub-Saharan Africa,SSF,2025,27.85824949398046,2211221046102.798,4.139281452596492,1673.0707757449677,3.403734582790553
Tanzania,TZA,2015,17.104911553096525,47413919817.12405,6.160628774066822,939.127319335938,5.588169529592981
Tanzania,TZA,2016,16.349975063903965,49774409374.453766,6.867116196445508,953.0107421875,5.174766293014932
Tanzania,TZA,2017,15.66349156580429,53274884532.78861,6.727269968324379,986.674011230469,5.318716052289308
Tanzania,TZA,2018,14.739143393171124,57003712892.08581,5.502675993849664,1023.10626220703,3.494458488561813
Tanzania,TZA,2019,16.036746148498576,61026731925.92128,5.799999999967227,1063.32250976563,3.464280579990205
Tanzania,TZA,2020,13.5038738462361,66068737786.06392,1.9919646064785468,1117.41528320313,3.290290627983255
Tanzania,TZA,2021,14.12002232658151,70655628147.89859,4.321384294804815,1159.85656738281,3.690919588021988
Tanzania,TZA,2022,15.413710520168284,75749121846.97034,4.566005764309551,1207.52062988281,4.350272042691012
